complaint_id,bike_brand,bike_model,problem_category,problem_description,mileage_km,manufacturing_year,severity
1,Bajaj,Splendor,Overheating,Brake pads wearing out too fast,39952,2022,High
2,Hero,Splendor,Electrical,Poor mileage compared to normal,54258,2024,Medium
3,Suzuki,Access 125,Brakes,Brake pads wearing out too fast,41827,2015,High
4,Honda,Pulsar,Suspension,Brake pads wearing out too fast,1064,2019,Medium
5,Hero,R15,Overheating,Gear shifting feels hard,36438,2024,Medium
6,Yamaha,Duke 200,Overheating,Brake pads wearing out too fast,32972,2018,Low
7,KTM,Splendor,Overheating,Brake pads wearing out too fast,31594,2017,Low
8,TVS,R15,Fuel System,Battery drains quickly,56184,2024,Low
9,Hero,Pulsar,Fuel System,Excessive vibration at high speed,22549,2023,Low
10,Royal Enfield,Pulsar,Engine,Gear shifting feels hard,10651,2023,Low
11,Royal Enfield,Duke 200,Engine,Poor mileage compared to normal,16756,2024,Medium
12,TVS,Duke 200,Engine,Battery drains quickly,14589,2024,High
13,Hero,FZ,Suspension,Engine making unusual noise,48899,2017,Low
14,Honda,Splendor,Fuel System,Overheating during long rides,59391,2019,Medium
15,TVS,FZ,Transmission,Engine making unusual noise,57695,2018,High
16,Honda,Classic 350,Fuel System,Excessive vibration at high speed,754,2024,Low
17,TVS,FZ,Transmission,Overheating during long rides,30390,2024,Low
18,Royal Enfield,Apache,Electrical,Poor mileage compared to normal,10046,2019,Medium
19,Yamaha,R15,Suspension,Bike not starting consistently,14504,2020,High
20,TVS,Pulsar,Transmission,Brake pads wearing out too fast,56228,2018,High
21,Yamaha,Classic 350,Brakes,Gear shifting feels hard,19241,2019,Low
22,Suzuki,R15,Electrical,Excessive vibration at high speed,25239,2021,Medium
23,Honda,Classic 350,Fuel System,Gear shifting feels hard,40048,2016,Low
24,Honda,Access 125,Engine,Brake pads wearing out too fast,51674,2016,Medium
25,Suzuki,FZ,Fuel System,Excessive vibration at high speed,53026,2016,Low
26,Royal Enfield,Access 125,Brakes,Battery drains quickly,20323,2018,Low
27,TVS,Access 125,Transmission,Battery drains quickly,18693,2015,High
28,Bajaj,Access 125,Fuel System,Engine making unusual noise,53737,2018,Low
29,Suzuki,Apache,Transmission,Battery drains quickly,56726,2018,Medium
30,Honda,Splendor,Electrical,Gear shifting feels hard,5028,2017,Low
